,Date,Windows,OS X,Others
0,2019-01,79.41,14.8,5.79
1,2019-02,77.19,16.69,6.12
2,2019-03,79.36,17.75,2.89
3,2019-04,78.74,17.98,3.28
4,2019-05,78.85,17.86,3.29
5,2019-06,79.09,16.91,3.9999999999999996
6,2019-07,77.3,17.53,5.17
7,2019-08,77.64,17.49,4.869999999999999
8,2019-09,79.14,17.91,2.9399999999999995
9,2019-10,79.32,18.44,2.23
10,2019-11,78.4,19.68,1.92
11,2019-12,78.53,19.46,2.02
12,2020-01,78.54,19.57,1.8900000000000001
13,2020-02,78.01,20.01,1.98
14,2020-03,77.31,20.89,1.8
15,2020-04,79.55,18.5,1.9500000000000002
16,2020-05,80.33,17.75,1.9100000000000001
17,2020-06,80.25,17.59,2.1599999999999997
18,2020-07,79.02,18.23,2.75
19,2020-08,77.36,19.09,3.5500000000000003
20,2020-09,77.11,20.4,2.49
21,2020-10,82.37,15.83,1.7999999999999998
22,2020-11,85.44,12.07,2.48
23,2020-12,85.81,11.74,2.45
24,2021-01,84.53,12.87,2.5900000000000003
25,2021-02,85.54,11.99,2.4699999999999998
26,2021-03,86.05,11.34,2.5999999999999996
27,2021-04,84.83,11.84,3.32
28,2021-05,82.84,13.36,3.8000000000000003
29,2021-06,77.26,18.2,4.53
30,2021-07,83.87,11.04,5.08
31,2021-08,83.56,11.79,4.6499999999999995
32,2021-09,86.24,10.35,3.4099999999999997
33,2021-10,87.75,9.36,2.88
34,2021-11,86.9,9.84,3.25
35,2021-12,86.04,9.43,4.53
36,2022-01,87.26,9.9,2.8499999999999996
