,Date,Android,iOS,Others
0,2019-01,73.82,25.26,0.9200000000000002
1,2019-02,73.16,25.93,0.9300000000000002
2,2019-03,75.78,23.41,0.8
3,2019-04,78.39,20.98,0.6200000000000001
4,2019-05,75.75,23.65,0.6000000000000001
5,2019-06,75.32,24.09,0.5900000000000001
6,2019-07,74.95,24.46,0.59
7,2019-08,74.81,24.59,0.6000000000000001
8,2019-09,75.98,23.51,0.51
9,2019-10,78.02,21.59,0.3800000000000001
10,2019-11,77.69,21.95,0.37
11,2019-12,77.81,21.88,0.31000000000000005
12,2020-01,77.84,21.86,0.30000000000000004
13,2020-02,79.69,20.08,0.24000000000000002
14,2020-03,78.78,20.98,0.23000000000000004
15,2020-04,79.43,20.37,0.19
16,2020-05,76.78,23.02,0.2
17,2020-06,77.39,22.4,0.21000000000000002
18,2020-07,78.0,21.82,0.17
19,2020-08,78.26,21.52,0.23000000000000004
20,2020-09,77.42,22.34,0.24000000000000002
21,2020-10,73.27,26.47,0.26
22,2020-11,72.44,27.24,0.31000000000000005
23,2020-12,73.96,25.65,0.4
24,2021-01,72.29,27.33,0.37999999999999995
25,2021-02,72.61,26.98,0.41000000000000003
26,2021-03,73.06,26.44,0.51
27,2021-04,73.5,25.96,0.54
28,2021-05,73.78,25.77,0.45000000000000007
29,2021-06,73.42,26.06,0.51
30,2021-07,73.75,25.78,0.46
31,2021-08,74.63,24.72,0.65
32,2021-09,73.2,26.2,0.6000000000000001
33,2021-10,70.71,28.75,0.53
34,2021-11,70.67,28.74,0.5800000000000001
35,2021-12,70.92,28.65,0.43000000000000005
36,2022-01,70.89,28.61,0.49000000000000005
