"Date","Android","iOS","Samsung","Windows","Nokia Unknown","Unknown","Other"
2019-01,73.82,25.26,0.37,0.42,0.05,0.01,0.07
2019-02,73.16,25.93,0.41,0.39,0.05,0.01,0.07
2019-03,75.78,23.41,0.32,0.37,0.03,0.02,0.06
2019-04,78.39,20.98,0.27,0.27,0.02,0.01,0.05
2019-05,75.75,23.65,0.13,0.34,0.05,0.02,0.06
2019-06,75.32,24.09,0.15,0.29,0.07,0.02,0.06
2019-07,74.95,24.46,0.16,0.29,0.08,0.02,0.04
2019-08,74.81,24.59,0.18,0.3,0.06,0.01,0.05
2019-09,75.98,23.51,0.17,0.23,0.05,0.02,0.04
2019-10,78.02,21.59,0.13,0.17,0.03,0.02,0.03
2019-11,77.69,21.95,0.11,0.2,0.02,0.01,0.03
2019-12,77.81,21.88,0.1,0.14,0.02,0.02,0.03
2020-01,77.84,21.86,0.11,0.14,0.01,0.02,0.02
2020-02,79.69,20.08,0.1,0.1,0.01,0.01,0.02
2020-03,78.78,20.98,0.13,0.08,0,0.01,0.01
2020-04,79.43,20.37,0.08,0.08,0,0.01,0.02
2020-05,76.78,23.02,0.11,0.05,0.01,0.01,0.02
2020-06,77.39,22.4,0.13,0.04,0.01,0.01,0.02
2020-07,78,21.82,0.12,0.03,0.01,0,0.01
2020-08,78.26,21.52,0.16,0.04,0.01,0.01,0.01
2020-09,77.42,22.34,0.15,0.04,0.01,0.01,0.03
2020-10,73.27,26.47,0.15,0.06,0.01,0.01,0.03
2020-11,72.44,27.24,0.16,0.05,0.01,0.02,0.07
2020-12,73.96,25.65,0.14,0.15,0.02,0.04,0.05
2021-01,72.29,27.33,0.21,0.1,0,0.03,0.04
2021-02,72.61,26.98,0.33,0.03,0.01,0.01,0.03
2021-03,73.06,26.44,0.33,0.08,0.02,0.05,0.03
2021-04,73.5,25.96,0.39,0.04,0.07,0.02,0.02
2021-05,73.78,25.77,0.39,0.02,0.01,0.01,0.02
2021-06,73.42,26.06,0.42,0.04,0,0.03,0.02
2021-07,73.75,25.78,0.38,0.04,0.01,0.02,0.01
2021-08,74.63,24.72,0.59,0.03,0.01,0.01,0.01
2021-09,73.2,26.2,0.52,0.05,0.01,0.01,0.01
2021-10,70.71,28.75,0.46,0.06,0,0,0.01
2021-11,70.67,28.74,0.51,0.05,0,0.01,0.01
2021-12,70.92,28.65,0.38,0.02,0.01,0.01,0.01
2022-01,70.89,28.61,0.46,0.01,0,0.01,0.01
